2026-03-06 14:14:36 | run_collect_anfragen | SYSTEM | Collect-Anfragen gestartet
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Einspeisetarife
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: WG: Ketter von Wärmepumpevergleich.at - Nettbureau AS
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Junger
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Junger
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Automatische Antwort: Mandlbauer Speichererweiterung
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: AW: Anfrage bezüglich Marktpreisprämienförderung
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Aw: Kontaktaufnahme PV Josef Wolf
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: WG: 🎄Weihnachtsaktion – Speichererweiterung zum Fixpreis! 
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Re: Kontaktaufnahme Friedrich Baumann Photovoltaikanlage
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Aw: Johann Kothbauer
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Anzahl der Voltaikelemente
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Re: Zwischenabrechnung, immer noch nicht mit richtiger Endsumne
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Re: Zwischenabrechnung, immer noch nicht mit richtiger Endsumne
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Re: Angebot Cassandra Fellner-Gross
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Re: Angebot Cassandra Fellner-Gross
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Re: Angebot Cassandra Fellner-Gross
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Re: Angebot Cassandra Fellner-Gross
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Angebot
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Re: Kontaktaufnahme Photovoltaikanlage Familie Beyer
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Kontaktaufnahme ENKO GmbH Photovoltaikanlage
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Re: Kontaktaufnahme ENKO GmbH Photovoltaik
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: AW: Kontaktaufnahme ENKO GmbH Photovoltaik
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Re: Angebot PV Christian Weiler
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Jakob Hartmaier "MCH Vertrieb e.U. - Leads ENKO GmbH-2" mit Ihnen geteilt
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Jakob Hartmaier "MCH Vertrieb e.U. - Leads ENKO GmbH-2" mit Ihnen geteilt
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Aw: Re: Angebot PV Christian Weiler
2026-03-06 14:14:37 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: AW: Angebot PV Christian Weiler
2026-03-06 14:14:38 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Leasing PV
2026-03-06 14:14:38 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Leasing PV
2026-03-06 14:14:38 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Aw: Aw: Kontaktaufnahme PV-Anlage Thomas Oberhofer
2026-03-06 14:14:38 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Aw: Kontaktaufnahme Photovoltaik
2026-03-06 14:14:38 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: AW: Kontaktaufnahme Herr Laimer
2026-03-06 14:14:38 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Ihnen wurden 2 Kontakte zugewiesen
2026-03-06 14:14:38 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Ihnen wurden 2 Kontakte zugewiesen
2026-03-06 14:14:38 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Ihnen wurde ein Angebot zugewiesen
2026-03-06 14:14:38 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Fwd: EAG Investitionszuschuss Ticket zu ZP AT0030000000000000000000030116961
2026-03-06 14:14:38 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Aw: Kontaktaufnahme Photovoltaik
2026-03-06 14:14:38 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Re: Kunde Patrick Pöschl Lead KL-Montagen
2026-03-06 14:14:38 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Re: Astrid Eibl Kontaktaufnahme Photovoltaikanlage
2026-03-06 14:14:38 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: Re: Astrid Eibl Kontaktaufnahme Photovoltaikanlage
2026-03-06 14:14:38 | run_collect_anfragen | SYSTEM | Keine Klassifikation für Mail: AW: [EXTERNAL] Fwd: Harald Nussbaumer PV
2026-03-06 14:14:38 | run_collect_anfragen | SYSTEM | Collect-Anfragen abgeschlossen
